XXXinorg1,XXXinorg1mass,XXXinorg2,XXXinorg2mass,XXXinorg3,XXXinorg3mass,XXXorg1,XXXorg1mass,XXXorg2,XXXorg2mass,XXXoxlike1,XXXoxlike1mass,temp,time,slowCool,pH
sodium metavanadate,0.0313,tellurium dioxide,0.4172,-1,-1.0,diethylenetriamine,0.0306,-1,-1.0,-1,-1.0,110,24.0,1,3
sodium metavanadate,0.1689,tellurium dioxide,0.2321,-1,-1.0,diethylenetriamine,0.0285,-1,-1.0,-1,-1.0,110,24.0,1,3
sodium metavanadate,0.0306,tellurium dioxide,0.4031,-1,-1.0,diethylenetriamine,0.0334,-1,-1.0,-1,-1.0,110,24.0,1,1
sodium metavanadate,0.1728,tellurium dioxide,0.2231,-1,-1.0,diethylenetriamine,0.0327,-1,-1.0,-1,-1.0,110,24.0,1,1
ammonium metavanadate,0.118,-1,-1.0,-1,-1.0,triethylenetetramine,0.1485,-1,-1.0,-1,-1.0,110,48.0,1,2
ammonium metavanadate,0.1307,-1,-1.0,-1,-1.0,triethylenetetramine,0.2345,-1,-1.0,-1,-1.0,110,48.0,1,2
vanadium(V) oxide,0.1857,-1,-1.0,-1,-1.0,H3PO3,0.4428,"N,N,N',N'-Tetramethylethylenediamine",0.529,-1,-1.0,160,120.0,1,4
vanadium(V) oxide,0.1857,-1,-1.0,-1,-1.0,H3PO3,0.4428,"N,N,N',N'-Tetramethylethylenediamine",0.529,-1,-1.0,160,120.0,1,4
vanadium(V) oxide,0.1795,-1,-1.0,-1,-1.0,H3PO3,0.4238,"N,N,N',N'-Tetramethylethylenediamine",0.285,-1,-1.0,160,120.0,1,3
vanadium(V) oxide,0.0955,-1,-1.0,-1,-1.0,H3PO3,0.2127,"N,N,N',N'-Tetramethylethylenediamine",0.1318,-1,-1.0,160,120.0,1,2
vanadium(V) oxide,0.1367,-1,-1.0,-1,-1.0,H3PO3,0.3055,"N,N,N',N'-Tetramethylethylenediamine",0.3723,-1,-1.0,160,120.0,1,7
vanadium(V) oxide,0.2035,-1,-1.0,-1,-1.0,H3PO3,1.0525,"N,N,N',N'-Tetramethylethylenediamine",0.2565,-1,-1.0,180,48.0,1,2
vanadium(V) oxide,0.2035,-1,-1.0,-1,-1.0,H3PO3,1.0525,"N,N,N',N'-Tetramethylethylenediamine",0.2565,-1,-1.0,180,48.0,1,2
vanadium(V) oxide,0.1769,-1,-1.0,-1,-1.0,H3PO3,0.4649,"N,N,N',N'-Tetramethylethylenediamine",0.2593,-1,-1.0,180,48.0,1,2
vanadium(V) oxide,0.1725,-1,-1.0,-1,-1.0,H3PO3,0.3968,"N,N,N',N'-Tetramethylethylenediamine",0.2911,-1,-1.0,180,48.0,1,6
vanadium(V) oxide,0.1813,-1,-1.0,-1,-1.0,H3PO3,0.4175,"N,N,N',N'-Tetramethylethylenediamine",0.2629,-1,-1.0,180,48.0,1,6
vanadium(V) oxide,0.2041,-1,-1.0,-1,-1.0,H3PO3,0.4472,"N,N,N',N'-Tetramethylethylenediamine",0.2602,-1,-1.0,180,48.0,1,8
vanadium(V) oxide,0.1827,-1,-1.0,-1,-1.0,H3PO3,0.442,"N,N,N',N'-Tetramethylethylenediamine",0.2584,-1,-1.0,180,48.0,1,8
molybdenum trioxide,0.2819,-1,-1.0,-1,-1.0,"1,8-diaminooctane",0.286,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.1261,-1,-1.0,-1,-1.0,"1,8-diaminooctane",0.125,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.6103,-1,-1.0,-1,-1.0,"1,8-diaminooctane",0.1386,-1,-1.0,-1,-1.0,180,96.0,0,5
molybdenum trioxide,0.1231,-1,-1.0,-1,-1.0,"1,8-diaminooctane",0.6019,-1,-1.0,-1,-1.0,180,96.0,0,5
potassium vanadium trioxide,0.1376,Selenium dioxide,0.6762,-1,-1.0,diethylenetriamine,0.0968,-1,-1.0,-1,-1.0,150,22.0,1,1
potassium vanadium trioxide,0.1413,Selenium dioxide,0.7113,-1,-1.0,diethylenetriamine,0.1007,-1,-1.0,-1,-1.0,150,22.0,1,4
potassium vanadium trioxide,0.1403,Selenium dioxide,0.6676,-1,-1.0,diethylenetriamine,0.1018,-1,-1.0,-1,-1.0,150,22.0,1,7
ammonium metavanadate,0.1239,Potassium Dichromate,1.2491,-1,-1.0,"N,N'-dimethylethylenediamine",0.0856,-1,-1.0,-1,-1.0,110,24.0,1,1
ammonium metavanadate,0.1346,Potassium Dichromate,1.1485,-1,-1.0,"N,N'-dimethylethylenediamine",0.0853,-1,-1.0,-1,-1.0,180,89.0,1,2
ammonium metavanadate,0.1294,Potassium Dichromate,2.5575,-1,-1.0,"N,N'-dimethylethylenediamine",0.0877,-1,-1.0,-1,-1.0,130,24.0,1,1
Oxovanadium(2+) sulfate,0.1648,Selenium dioxide,1.2995,-1,-1.0,"1,4-dimethylpiperazine",0.1166,-1,-1.0,-1,-1.0,110,24.0,1,4
Oxovanadium(2+) sulfate,0.1773,Selenium dioxide,1.3726,-1,-1.0,"1,4-dimethylpiperazine",0.1168,-1,-1.0,-1,-1.0,110,24.0,1,7
Oxovanadium(2+) sulfate,0.164,Selenium dioxide,1.3121,-1,-1.0,"1,4-dimethylpiperazine",1.3121,-1,-1.0,-1,-1.0,110,24.0,1,2
Oxovanadium(2+) sulfate,0.1641,Selenium dioxide,1.3291,-1,-1.0,"1,4-dimethylpiperazine",1.3291,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.1686,Selenium dioxide,0.6614,-1,-1.0,"1,4-dimethylpiperazine",0.1196,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.1655,Selenium dioxide,0.7105,-1,-1.0,"1,4-dimethylpiperazine",0.1211,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.1631,Selenium dioxide,1.3929,-1,-1.0,"1,4-dimethylpiperazine",0.1187,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.1669,Selenium dioxide,1.3336,-1,-1.0,"1,4-dimethylpiperazine",0.1285,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.1635,Selenium dioxide,1.1004,-1,-1.0,"1,4-dimethylpiperazine",0.1195,-1,-1.0,-1,-1.0,90,24.0,1,2
Oxovanadium(2+) sulfate,0.165,Selenium dioxide,1.3349,-1,-1.0,"1,4-dimethylpiperazine",0.1155,-1,-1.0,-1,-1.0,90,24.0,1,2
Oxovanadium(2+) sulfate,0.163,Selenium dioxide,1.1058,-1,-1.0,"1,4-dimethylpiperazine",0.1182,-1,-1.0,-1,-1.0,110,24.0,1,2
Oxovanadium(2+) sulfate,0.1635,Selenium dioxide,1.332,-1,-1.0,"1,4-dimethylpiperazine",0.1174,-1,-1.0,-1,-1.0,110,24.0,1,2
Selenium dioxide,0.6655,Oxovanadium(2+) sulfate,0.3346,-1,-1.0,"1,4-dimethylpiperazine",0.2353,-1,-1.0,-1,-1.0,120,72.0,0,3
Oxovanadium(2+) sulfate,0.5881,Selenium dioxide,0.5797,-1,-1.0,"1,4-dimethylpiperazine",0.3642,-1,-1.0,-1,-1.0,110,18.0,1,4
Oxovanadium(2+) sulfate,0.4775,Selenium dioxide,0.5487,-1,-1.0,"1,4-dimethylpiperazine",0.3614,-1,-1.0,-1,-1.0,110,18.0,1,1
Oxovanadium(2+) sulfate,0.3335,Selenium dioxide,0.5553,-1,-1.0,"1,4-dimethylpiperazine",0.3913,-1,-1.0,-1,-1.0,110,18.0,1,7
Oxovanadium(2+) sulfate,0.339,Selenium dioxide,0.551,-1,-1.0,"1,4-dimethylpiperazine",0.351,-1,-1.0,-1,-1.0,110,24.0,1,7
Oxovanadium(2+) sulfate,0.1635,Selenium dioxide,1.3174,-1,-1.0,diethylenetriamine,0.1088,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.1644,Selenium dioxide,1.3186,-1,-1.0,diethylenetriamine,0.1128,-1,-1.0,-1,-1.0,110,24.0,1,2
Oxovanadium(2+) sulfate,0.342,Selenium dioxide,0.641,-1,-1.0,diethylenetriamine,0.319,-1,-1.0,-1,-1.0,110,72.0,1,4
ammonium metavanadate,0.139,Potassium Dichromate,0.514,-1,-1.0,"1,4-dimethylpiperazine",0.1144,-1,-1.0,sodium oxalate,0.1273,180,89.0,1,2
ammonium metavanadate,0.1098,Potassium Dichromate,0.5298,-1,-1.0,"1,4-dimethylpiperazine",0.1661,-1,-1.0,sodium oxalate,0.101,130,72.0,1,2
ammonium metavanadate,0.112,Potassium Dichromate,0.9812,-1,-1.0,"1,4-dimethylpiperazine",0.106,-1,-1.0,sodium oxalate,0.1008,130,24.0,1,2
ammonium metavanadate,0.1184,-1,-1.0,-1,-1.0,"2,5-dimethylpiperazine",0.1333,-1,-1.0,-1,-1.0,140,20.0,1,1
ammonium metavanadate,0.12,-1,-1.0,-1,-1.0,"2,5-dimethylpiperazine",0.1269,-1,-1.0,-1,-1.0,110,48.0,1,2
ammonium metavanadate,0.1123,-1,-1.0,-1,-1.0,"2,5-dimethylpiperazine",0.123,-1,-1.0,-1,-1.0,110,48.0,1,2
vanadium(V) oxide,0.1846,sodium tellurite,0.1152,-1,-1.0,1-methylheptane,0.1426,ethanol,4.017,-1,-1.0,110,72.0,0,12
vanadium(V) oxide,0.1854,sodium tellurite,0.1132,-1,-1.0,1-methylheptane,0.1241,ethanol,4.0539,-1,-1.0,110,72.0,0,3
vanadium(V) oxide,0.1842,sodium tellurite,0.1148,-1,-1.0,1-methylheptane,0.1292,ethanol,3.9508,-1,-1.0,110,72.0,0,8
Oxovanadium(2+) sulfate,0.1686,Selenium dioxide,1.419,-1,-1.0,"1,10-diaminodecane",-1.0,"2,5-dimethylpiperazine",0.1166,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.1736,Selenium dioxide,1.3456,-1,-1.0,"1,10-diaminodecane",-1.0,"2,5-dimethylpiperazine",0.1237,-1,-1.0,110,24.0,1,4
Oxovanadium(2+) sulfate,0.1707,Selenium dioxide,1.3528,-1,-1.0,"1,10-diaminodecane",-1.0,"2,5-dimethylpiperazine",0.1218,-1,-1.0,110,24.0,1,7
tellurium dioxide,0.4791,sodium metavanadate,0.1615,-1,-1.0,tris(2-aminoethyl)amine,0.8739,-1,-1.0,-1,-1.0,90,192.0,0,12
tellurium dioxide,0.4776,sodium metavanadate,0.158,-1,-1.0,tris(2-aminoethyl)amine,0.8773,-1,-1.0,-1,-1.0,90,192.0,0,12
tellurium dioxide,0.4776,sodium metavanadate,0.157,-1,-1.0,tris(2-aminoethyl)amine,0.8764,-1,-1.0,-1,-1.0,90,72.0,0,11
tellurium dioxide,0.476,sodium metavanadate,0.1575,-1,-1.0,tris(2-aminoethyl)amine,0.8824,-1,-1.0,-1,-1.0,90,72.0,0,11
tellurium dioxide,0.4788,sodium metavanadate,0.157,-1,-1.0,tris(2-aminoethyl)amine,0.8736,-1,-1.0,-1,-1.0,90,72.0,0,11
Oxovanadium(2+) sulfate,0.0393,sodium tellurite,0.5711,-1,-1.0,"N,N'-dimethylethylenediamine",0.0234,-1,-1.0,-1,-1.0,110,24.0,1,7
Oxovanadium(2+) sulfate,0.0409,sodium tellurite,0.0594,-1,-1.0,"N,N'-dimethylethylenediamine",0.2276,-1,-1.0,-1,-1.0,110,24.0,1,5
Oxovanadium(2+) sulfate,0.0476,sodium tellurite,0.5631,-1,-1.0,"N,N'-dimethylethylenediamine",0.0273,-1,-1.0,-1,-1.0,110,24.0,1,5
Oxovanadium(2+) sulfate,0.0403,sodium tellurite,0.0605,-1,-1.0,"N,N'-dimethylethylenediamine",0.2248,-1,-1.0,-1,-1.0,110,24.0,1,3
Oxovanadium(2+) sulfate,0.0395,sodium tellurite,0.5603,-1,-1.0,"N,N'-dimethylethylenediamine",0.0233,-1,-1.0,-1,-1.0,110,24.0,1,3
Oxovanadium(2+) sulfate,0.0421,sodium tellurite,0.0555,-1,-1.0,"N,N'-dimethylethylenediamine",0.2389,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.0443,sodium tellurite,0.5614,-1,-1.0,"N,N'-dimethylethylenediamine",0.0243,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.0402,sodium tellurite,0.0546,-1,-1.0,"N,N'-dimethylethylenediamine",0.2273,-1,-1.0,-1,-1.0,110,24.0,1,7
vanadium(V) oxide,0.1814,sodium tellurite,0.1121,-1,-1.0,"N,N'-diethylethylenediamine",0.1176,ethanol,3.9819,-1,-1.0,180,83.0,0,9
vanadium(V) oxide,0.1821,sodium tellurite,0.1118,-1,-1.0,"N,N'-diethylethylenediamine",0.1186,ethanol,3.9753,-1,-1.0,180,107.0,0,9
vanadium(V) oxide,0.1809,sodium tellurite,0.1141,-1,-1.0,"N,N'-diethylethylenediamine",0.1162,ethanol,3.9828,-1,-1.0,180,59.5,0,9
vanadium(V) oxide,0.1793,sodium tellurite,0.1136,-1,-1.0,"N,N'-diethylethylenediamine",0.1176,ethanol,3.945,-1,-1.0,180,72.0,0,4
vanadium(V) oxide,0.1814,sodium tellurite,0.114,-1,-1.0,"N,N'-diethylethylenediamine",0.1154,ethanol,3.945,-1,-1.0,180,72.0,0,5
vanadium(V) oxide,0.1844,sodium tellurite,0.1161,-1,-1.0,"N,N'-diethylethylenediamine",0.1157,ethanol,3.945,-1,-1.0,180,72.0,0,5
ammonium metavanadate,0.1174,Selenium dioxide,0.6595,-1,-1.0,"1,3-diaminopropane",0.1627,-1,-1.0,sodium oxalate,0.1071,110,60.0,1,2
ammonium metavanadate,0.1333,Selenium dioxide,1.0388,-1,-1.0,"1,3-diaminopropane",0.288,-1,-1.0,-1,-1.0,110,24.0,1,5
ammonium metavanadate,0.1334,Selenium dioxide,0.132,-1,-1.0,"1,3-diaminopropane",0.8772,-1,-1.0,-1,-1.0,110,24.0,1,3
ammonium metavanadate,0.1362,Selenium dioxide,0.4506,-1,-1.0,"1,3-diaminopropane",0.7882,-1,-1.0,-1,-1.0,110,24.0,1,3
ammonium metavanadate,0.1394,Selenium dioxide,1.0819,-1,-1.0,"1,3-diaminopropane",0.2878,-1,-1.0,-1,-1.0,110,24.0,1,3
ammonium metavanadate,0.1341,Selenium dioxide,0.1504,-1,-1.0,"1,3-diaminopropane",0.8755,-1,-1.0,-1,-1.0,110,24.0,1,1
ammonium metavanadate,0.1343,Selenium dioxide,0.4586,-1,-1.0,"1,3-diaminopropane",0.6778,-1,-1.0,-1,-1.0,110,24.0,1,1
ammonium metavanadate,0.1379,Selenium dioxide,1.0373,-1,-1.0,"1,3-diaminopropane",0.2821,-1,-1.0,-1,-1.0,110,24.0,1,1
ammonium metavanadate,0.1328,Selenium dioxide,0.1289,-1,-1.0,"1,3-diaminopropane",0.8704,-1,-1.0,-1,-1.0,110,24.0,1,7
ammonium metavanadate,0.1452,Selenium dioxide,0.4574,-1,-1.0,"1,3-diaminopropane",0.6829,-1,-1.0,-1,-1.0,110,24.0,1,7
ammonium metavanadate,0.136,Selenium dioxide,1.0447,-1,-1.0,"1,3-diaminopropane",0.2799,-1,-1.0,-1,-1.0,110,24.0,1,7
ammonium metavanadate,0.1384,Selenium dioxide,0.1403,-1,-1.0,"1,3-diaminopropane",0.8791,-1,-1.0,-1,-1.0,110,24.0,1,5
ammonium metavanadate,0.1385,Selenium dioxide,0.4646,-1,-1.0,"1,3-diaminopropane",0.6768,-1,-1.0,-1,-1.0,110,24.0,1,5
sodium metavanadate,0.1271,Selenium dioxide,1.1614,-1,-1.0,1-ethylpiperazine,0.1143,-1,-1.0,sodium oxalate,0.1544,90,17.0,1,2
Oxovanadium(2+) sulfate,0.3319,Selenium dioxide,0.5522,-1,-1.0,triethylenetetramine,0.3184,-1,-1.0,-1,-1.0,90,24.0,1,4
Oxovanadium(2+) sulfate,0.3464,Selenium dioxide,0.5631,-1,-1.0,triethylenetetramine,0.3028,-1,-1.0,-1,-1.0,90,24.0,1,7
Oxovanadium(2+) sulfate,0.172,Selenium dioxide,1.323,-1,-1.0,triethylenetetramine,0.1441,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.3465,Selenium dioxide,0.5537,-1,-1.0,"1,4-bis(3-aminopropyl)piperazine",0.824,-1,-1.0,-1,-1.0,110,24.0,1,1
ZnO,0.3273,-1,-1.0,-1,-1.0,"1,2-diaminopropane",0.5933,-1,-1.0,-1,-1.0,80,50.0,1,3
ZnO,0.4455,-1,-1.0,-1,-1.0,"1,2-diaminopropane",0.406,-1,-1.0,-1,-1.0,80,50.0,1,1
ZnO,0.2755,-1,-1.0,-1,-1.0,"1,2-diaminopropane",1.0214,-1,-1.0,-1,-1.0,80,50.0,1,8
ZnO,0.7981,-1,-1.0,-1,-1.0,"1,2-diaminopropane",0.3639,-1,-1.0,-1,-1.0,80,50.0,1,2
ZnO,0.7946,-1,-1.0,-1,-1.0,"1,2-diaminopropane",0.7284,-1,-1.0,-1,-1.0,80,50.0,1,7
ZnO,0.0486,-1,-1.0,-1,-1.0,"1,2-diaminopropane",0.3625,-1,-1.0,-1,-1.0,80,50.0,1,3
ammonium metavanadate,0.1149,Potassium Dichromate,0.1729,Selenium dioxide,1.1016,"N,N'-dimethylethylenediamine",0.863,-1,-1.0,-1,-1.0,110,24.0,1,2
ammonium metavanadate,0.0675,Potassium Dichromate,0.4129,Selenium dioxide,0.5763,"N,N'-dimethylethylenediamine",0.0422,-1,-1.0,-1,-1.0,110,24.0,1,2
ammonium metavanadate,0.0698,Potassium Dichromate,0.2607,Selenium dioxide,0.4035,"N,N'-dimethylethylenediamine",0.0495,-1,-1.0,-1,-1.0,110,24.0,1,2
vanadium(V) oxide,0.0921,Selenium dioxide,0.6598,-1,-1.0,"N,N,N',N'-Tetramethylethylenediamine",0.1134,-1,-1.0,-1,-1.0,90,24.0,1,2
vanadium(V) oxide,0.0898,Selenium dioxide,0.6805,-1,-1.0,"N,N,N',N'-Tetramethylethylenediamine",0.1161,-1,-1.0,-1,-1.0,75,48.0,1,2
vanadium(V) oxide,0.0911,Selenium dioxide,1.3111,-1,-1.0,"N,N,N',N'-Tetramethylethylenediamine",0.1191,-1,-1.0,-1,-1.0,75,48.0,1,1
vanadium(V) oxide,0.089,Selenium dioxide,0.679,-1,-1.0,"N,N,N',N'-Tetramethylethylenediamine",0.1156,-1,-1.0,-1,-1.0,110,24.0,1,2
vanadium(V) oxide,0.1109,Selenium dioxide,1.3204,-1,-1.0,"N,N,N',N'-Tetramethylethylenediamine",0.1196,-1,-1.0,-1,-1.0,110,24.0,1,1
vanadium(V) oxide,0.0918,Selenium dioxide,0.6625,-1,-1.0,"N,N,N',N'-Tetramethylethylenediamine",0.115,-1,-1.0,-1,-1.0,90,48.0,0,1
sodium tellurite,0.2562,sodium metavanadate,0.1557,-1,-1.0,ethylenediamine,0.1119,-1,-1.0,-1,-1.0,90,60.0,1,8
sodium tellurite,0.2543,sodium metavanadate,0.153,-1,-1.0,ethylenediamine,0.1166,-1,-1.0,-1,-1.0,90,60.0,1,8
sodium tellurite,0.2744,sodium metavanadate,0.1579,-1,-1.0,ethylenediamine,0.0854,-1,-1.0,-1,-1.0,90,60.0,1,8
sodium tellurite,0.2448,sodium metavanadate,0.186,-1,-1.0,ethylenediamine,0.1114,-1,-1.0,-1,-1.0,90,60.0,1,8
sodium tellurite,0.3175,sodium metavanadate,0.1728,-1,-1.0,ethylenediamine,0.0844,-1,-1.0,-1,-1.0,90,60.0,1,8
sodium tellurite,0.2538,sodium metavanadate,0.1348,-1,-1.0,ethylenediamine,0.1162,-1,-1.0,-1,-1.0,90,60.0,1,8
sodium tellurite,0.2743,sodium metavanadate,0.1697,-1,-1.0,ethylenediamine,0.1339,-1,-1.0,-1,-1.0,90,60.0,1,8
sodium tellurite,0.272,sodium metavanadate,0.1445,-1,-1.0,ethylenediamine,0.0976,-1,-1.0,-1,-1.0,90,60.0,1,8
sodium tellurite,0.1356,sodium metavanadate,0.0785,-1,-1.0,ethylenediamine,0.0722,-1,-1.0,-1,-1.0,90,24.0,1,8
sodium tellurite,0.1396,sodium metavanadate,0.0703,-1,-1.0,ethylenediamine,0.074,-1,-1.0,-1,-1.0,90,24.0,1,8
sodium tellurite,0.1397,sodium metavanadate,0.0794,-1,-1.0,ethylenediamine,0.0835,-1,-1.0,-1,-1.0,90,24.0,1,8
sodium tellurite,0.0581,sodium metavanadate,0.0308,-1,-1.0,ethylenediamine,0.1547,-1,-1.0,-1,-1.0,90,17.0,1,7
sodium tellurite,0.0533,sodium metavanadate,0.0995,-1,-1.0,ethylenediamine,0.1228,-1,-1.0,-1,-1.0,90,17.0,1,7
sodium tellurite,0.0539,sodium metavanadate,0.3086,-1,-1.0,ethylenediamine,0.0158,-1,-1.0,-1,-1.0,90,17.0,1,7
sodium tellurite,0.1794,sodium metavanadate,0.0325,-1,-1.0,ethylenediamine,0.1874,-1,-1.0,-1,-1.0,90,17.0,1,7
sodium tellurite,0.4345,sodium metavanadate,0.0294,-1,-1.0,ethylenediamine,0.0499,-1,-1.0,-1,-1.0,90,17.0,1,5
sodium tellurite,0.0533,sodium metavanadate,0.2386,-1,-1.0,ethylenediamine,0.0531,-1,-1.0,-1,-1.0,90,17.0,1,5
sodium tellurite,0.4325,sodium metavanadate,0.0312,-1,-1.0,ethylenediamine,0.0524,-1,-1.0,-1,-1.0,90,17.0,1,3
sodium tellurite,0.0549,sodium metavanadate,0.2396,-1,-1.0,ethylenediamine,0.0588,-1,-1.0,-1,-1.0,90,17.0,1,3
sodium tellurite,0.4323,sodium metavanadate,0.0305,-1,-1.0,ethylenediamine,0.0488,-1,-1.0,-1,-1.0,90,17.0,1,1
sodium tellurite,0.0567,sodium metavanadate,0.2375,-1,-1.0,ethylenediamine,0.0591,-1,-1.0,-1,-1.0,90,17.0,1,1
ammonium metavanadate,0.6403,Selenium dioxide,0.0496,-1,-1.0,"2,5-dimethylpyrazine",0.1086,-1,-1.0,-1,-1.0,90,20.0,1,3
ammonium metavanadate,0.219,Selenium dioxide,0.081,-1,-1.0,"2,5-dimethylpyrazine",0.0253,-1,-1.0,-1,-1.0,90,20.0,1,1
